Ethnicity,LvCitizens,LvNonCitizens,LvAlternative,LvStateless,LvRefugee,LvTemp,Foreign,Total
ABĀZS,2,3,0,0,0,0,2,7
ABHĀZS,15,16,0,0,0,0,7,38
ADIGEJIETIS,1,7,0,0,0,0,3,11
AFGĀNIS,18,4,13,0,1,0,22,58
AFRIKANDS,2,0,0,0,0,0,1,3
AGULS,4,17,0,0,0,0,8,29
ALBĀNIS,1,0,0,0,0,0,13,14
ALTAJIETIS,1,4,0,0,0,0,1,6
ALŽĪRIETIS,2,0,0,0,0,0,18,20
AMERIKĀNIS,30,0,0,0,0,0,330,360
ANGLIS,42,2,0,0,0,0,375,419
ARĀBS,12,8,8,0,2,0,16,46
ARGENTĪNIETIS,1,2,0,0,0,0,8,11
ARMĒNIS,1178,982,0,9,0,0,538,2707
ASĪRIETIS,4,3,1,0,0,0,6,14
AUSTRĀLIETIS,3,0,0,0,0,0,26,29
AUSTRIETIS,4,2,0,0,0,0,82,88
AVĀRS,36,27,0,1,0,0,16,80
AZERBAIDŽĀNIS,572,867,0,3,5,0,383,1830
BALKĀRS,2,5,0,0,0,0,5,12
BALTKRIEVS,30579,39483,2,12,0,0,4882,74958
BAŠKĪRS,76,121,0,0,0,0,66,263
BELUDŽS,0,0,0,0,0,0,2,2
BENGĀLIS,1,0,2,0,0,0,8,11
BENINIETIS,3,2,0,0,0,0,0,5
BOLĪVIETIS,0,0,0,0,0,0,1,1
BOSNIETIS,1,0,0,0,0,0,6,7
BRAZĪLIETIS,1,0,0,0,0,0,30,31
BULGĀRS,174,153,0,1,0,0,694,1022
BURJATS,16,13,0,0,0,0,7,36
CAHURS,2,2,0,0,0,0,4,8
ČEČENS,73,54,1,0,0,0,63,191
ČEHS,61,12,0,0,0,0,127,200
ČERKESS,10,6,0,0,0,0,2,18
ČIGĀNS,7815,417,0,8,2,0,49,8291
ČĪLIETIS,0,0,0,0,0,0,4,4
ČUKČS,0,2,0,0,0,0,0,2
ČUVAŠS,144,428,0,1,0,0,138,711
DARGINS,19,9,0,0,0,0,7,35
DĀNIS,34,0,0,0,0,0,256,290
EBREJS,6037,2554,0,0,0,0,530,9121
EKVADORIETIS,0,0,0,0,0,0,1,1
EVENKS,2,3,0,0,0,0,0,5
EVENS,0,0,0,0,0,0,1,1
ĒĢIPTIETIS,6,0,0,0,3,0,45,54
FARSS,0,1,0,0,0,0,1,2
FLĀMS,2,1,0,0,0,0,8,11
FRANCŪZIS,27,0,0,0,0,0,339,366
GAGAUZS,40,55,0,0,0,0,13,108
GRIEĶIS,168,99,0,1,0,0,65,333
GRUZĪNS,480,403,0,2,3,0,296,1184
HAKASIETIS,1,4,0,0,0,0,3,8
HANTS,0,4,0,0,0,0,1,5
HINDUSTĀNIS,0,0,0,0,0,0,2,2
HOLANDIETIS,16,3,0,0,0,0,105,124
HORVĀTS,5,5,0,0,0,0,13,23
IGAUNIS,1375,425,0,0,0,0,483,2283
INDIETIS,7,0,0,0,0,0,150,157
INGUŠS,9,15,0,1,0,0,12,37
IRĀKIETIS,1,0,1,0,1,0,6,9
IRĀNIS,2,2,8,3,9,0,19,43
ISLANDIETIS,3,0,0,0,0,0,34,37
ITĀLIS,55,1,0,0,0,0,357,413
