BirthYear,LvCitizen,LvNonCitizen,LvAlternative,LvStateless,LvRefugee,Foreign,Total
2006,20643,909,0,0,0,72,21624
2005,20758,844,0,1,0,167,21770
2004,19388,861,0,0,0,177,20426
2003,19893,879,0,0,0,129,20901
2002,18860,909,0,1,0,155,19925
2001,18318,923,0,1,0,181,19423
2000,18730,1076,0,1,0,172,19979
1999,17857,976,0,0,0,230,19063
1998,16829,960,0,0,0,219,18008
1997,17147,1003,0,1,0,228,18379
1996,17885,1112,0,0,0,221,19218
1995,19506,1214,0,0,0,241,20961
1994,21444,1300,0,1,0,226,22971
1993,23801,1411,1,3,0,247,25463
1992,28146,1857,0,1,0,207,30211
1991,28962,2700,0,3,0,226,31891
1990,30693,3351,0,8,0,242,34294
1989,31318,3530,0,4,0,242,35094
1988,32986,3532,0,2,0,254,36774
1987,33864,3623,0,3,0,277,37767
1986,33980,3608,0,3,0,314,37905
1985,32743,3621,0,3,0,324,36691
1984,32803,3714,0,1,0,357,36875
1983,32816,4004,0,1,0,392,37213
1982,30597,3678,0,0,0,367,34642
1981,29136,3782,0,3,0,394,33315
1980,28218,4019,0,0,0,394,32631
1979,27301,4101,0,1,0,398,31801
1978,26670,4205,0,1,0,436,31312
1977,26717,4125,0,1,0,439,31282
1976,27222,4026,0,4,0,487,31739
1975,27139,4358,0,5,0,539,32041
1974,27019,4528,0,4,0,544,32095
1973,26784,4265,0,3,0,552,31604
1972,27245,4575,0,5,0,620,32445
1971,27634,4587,0,8,0,702,32931
1970,27032,4524,0,8,0,689,32253
1969,25995,4564,0,9,0,620,31188
1968,25802,4765,1,6,0,665,31239
1967,25251,5117,0,5,0,682,31055
1966,24986,5536,0,4,0,646,31172
1965,24153,5760,0,6,0,605,30524
1964,25179,6373,0,6,0,599,32157
1963,25829,6818,0,4,0,581,33232
1962,26469,7430,0,4,0,566,34469
1961,27005,7683,0,7,0,629,35324
1960,26641,8064,0,4,0,566,35275
1959,26000,8176,0,6,0,532,34714
1958,25697,8360,0,4,0,511,34572
1957,24590,8263,1,5,0,546,33405
1956,23037,8071,0,2,0,536,31646
1955,22682,8233,0,9,0,506,31430
1954,21592,8389,0,1,0,527,30509
1953,19885,7745,0,4,0,490,28124
1952,20039,8148,0,2,0,536,28725
1951,20091,8069,0,3,0,525,28688
1950,19359,7788,0,3,0,637,27787
1949,20137,8524,0,4,0,673,29338
1948,18815,7755,0,2,0,610,27182
1947,17297,7409,0,1,0,609,25316
1946,15376,6303,0,3,0,634,22316
1945,16248,4294,0,1,0,416,20959
1944,17867,3958,0,2,0,396,22223
1943,19581,3520,0,0,0,354,23455
1942,20264,4545,0,0,0,510,25319
1941,20156,6302,0,1,0,767,27226
1940,18974,6437,0,1,0,895,26307
1939,18551,7061,0,0,0,974,26586
1938,18033,7058,0,1,0,977,26069
1937,16664,7234,0,1,0,1111,25010
1936,16026,5797,0,0,0,805,22628
1935,14870,4991,0,0,0,729,20590
1934,13599,4065,0,0,0,586,18250
1933,13765,4352,0,0,0,512,18629
1932,13915,4809,0,0,0,550,19274
1931,13267,4353,0,0,0,575,18195
1930,12517,4766,0,1,0,549,17833
1929,11415,4292,0,1,0,539,16247
1928,11210,4356,0,0,0,553,16119
1927,10007,4113,0,0,0,604,14724
1926,8638,3656,0,1,0,490,12785
1925,7855,3189,0,0,0,438,11482
1924,6703,2750,0,1,0,378,9832
1923,6145,2426,0,0,0,342,8913
1922,5101,1943,0,0,0,274,7318
1921,4149,1452,0,0,0,240,5841
1920,2972,1104,0,0,0,142,4218
1919,2374,841,0,0,0,115,3330
1918,1995,833,0,0,0,104,2932
1917,1295,468,0,0,0,50,1813
1916,1188,382,0,0,0,39,1609
1915,1136,336,0,0,0,35,1507
1914,1131,329,0,0,0,33,1493
1913,860,242,0,0,0,21,1123
1912,743,183,0,0,0,11,937
1911,472,108,0,0,0,11,591
1910,343,79,0,0,0,7,429
1909,215,53,0,0,0,7,275
1908,156,35,0,0,0,4,195
1907,95,15,0,0,0,2,112
1906,63,26,0,0,0,2,91
1905,36,7,0,0,0,0,43
1904,12,10,0,0,0,0,22
1903,9,5,0,0,0,1,15
1902,6,3,0,0,0,0,9
1901,2,0,0,0,0,0,2
1900,1,2,0,0,0,0,3
1899,1,1,0,0,0,0,2
1898,0,1,0,0,0,0,1
1893,0,1,0,0,0,0,1
