Nosaukums;Reģistrācijas numurs;Juridiskais status;Vadītājs;Filiāļu skaits;Strukturvienību skaits;Veids;Tips;Faktiskais dibinātājs;Deklarētais dibinātājs;Likvidēta;Adrese;Tālrunis;E-pasts;
Baltijas psiholoģijas un menedžmenta augstskola;3343801876;Komercsabiedrība;ŽANNA CAURKUBULE;4;0;Augstākās izglītības iestāde;Augstskola;Staņislavs Buka, Valērijs Ņikiforovs, Inta Buka, Ņikita Ņikiforovs;Staņislavs Buka, Valērijs Ņikiforovs, Inta Buka, Ņikita Ņikiforovs;Nē;LOMONOSOVA IELA 4, RĪGA, LV-1003;67100608;rector@psy.lv;
Baltijas Starptautiskā akadēmija;3343800009;Komercsabiedrība;;7;0;Augstākās izglītības iestāde;Augstskola;Sabiedrība ar ierobežotu atbildību „Baltijas Starptautiskā akadēmija”;Sabiedrība ar ierobežotu atbildību „Baltijas Starptautiskā akadēmija”;Nē;LOMONOSOVA IELA 4, RĪGA, LV-1003;67100554;vocish@bsa.edu.lv;
Banku augstskola;3343000077;Atvasināta publiskā persona ;ANDRIS SARNOVIČS;0;0;Augstākās izglītības iestāde;Augstskola;Izglītības un zinātnes ministrija;Latvijas Republikas Ministru kabinets;Nē;KRIŠJĀŅA VALDEMĀRA IELA 161, RĪGA, LV-1013;67360133;info@ba.lv;
Biznesa augstskola Turība;3343800213;Komercsabiedrība;;4;0;Augstākās izglītības iestāde;Augstskola;Latvijas kopdarbības centrālā Savienība "Turība", A/S"Birznieka Biznesa Centrs", SIA "REINMAN";Latvijas kopdarbības centrālā Savienība "Turība", A/S"Birznieka Biznesa Centrs", SIA "REINMAN";Nē;GRAUDU IELA 68, RĪGA, LV-1058;67622551, 67619008;turiba@turiba.lv;
Biznesa institūts RIMPAK Livonija;3343801603;Komercsabiedrība;;0;0;Augstākās izglītības iestāde;Augstskola;SIA "RIMPAK Livonija";SIA "RIMPAK Livonija";Jā;OBSERVATORIJAS IELA 7, RĪGA, LV-1067;67440506;mvolkova@internet.lv; brain@rimpak.com; www.rimpak.com;
Daugavpils Universitāte;2741000222;Atvasināta publiskā persona ;ARVĪDS BARŠEVSKIS;7;0;Augstākās izglītības iestāde;Augstskola;Latvijas Republikas Ministru kabinets;Latvijas Republikas Ministru kabinets;Nē;VIENĪBAS IELA 13, DAUGAVPILS, LV-5400;65422180;dau@dau.lv;
Ekonomikas un kultūras augstskola;3343800214;Komercsabiedrība;;1;0;Augstākās izglītības iestāde;Augstskola;Sabiedrība ar ierobežotu atbildību "ALBERTA KOLEDŽA";Sabiedrība ar ierobežotu atbildību "ALBERTA KOLEDŽA";Nē;LOMONOSOVA IELA 1 k-5, RĪGA, LV-1019;67114111;administracija@eka.edu.lv;
Informācijas sistēmu menedžmenta augstskola;3343800183;Komercsabiedrība;MARGA ŽIVITERE;2;0;Augstākās izglītības iestāde;Augstskola;Sabiedrība ar ierobežotu atbildību „Informācijas sistēmu menedžmenta augstskola”;Sabiedrība ar ierobežotu atbildību „Informācijas sistēmu menedžmenta augstskola”;Nē;LOMONOSOVA IELA 1 k-6, RĪGA, LV-1019;67100607, 67100549;isma@isma.lv;
Inženierzinātņu un informatīvo tehnoloģiju akadēmija;3343801522;Komercsabiedrības struktūrvienība;;0;0;Augstākās izglītības iestāde;Augstskola;Sabiedrība ar ierobežotu atbildību "Zinātniski tehniskā apvienība Viens";Sabiedrība ar ierobežotu atbildību "Zinātniski tehniskā apvienība Viens";Jā;MASKAVAS IELA 168, RĪGA, LV-1019;0000000;;
Jāzepa Vītola Latvijas Mūzikas akadēmija;3342301472;Atvasināta publiskā persona ;ARTIS SĪMANIS;0;0;Augstākās izglītības iestāde;Augstskola;Kultūras ministrija;Latvijas Republikas Ministru kabinets;Nē;KRIŠJĀŅA BARONA IELA 1, RĪGA, LV-1050;67228684;academy@music.lv;
