TownCode,Town,Latitude,Longitude,How,House,Clouds,About,Drought
1.1,Lowick,55.649,-1.977,uu,uu,uu,uu,uu
1.1,Lowick,55.649,-1.977,uu,uu,uu,uu,uu
1.2,Embleton,55.4959,-1.6354,uu,uu,uu,uu,uu
1.2,Embleton,55.4959,-1.6354,uu,uu,uu,uu,uu
1.3,Thropton,55.314,-1.958,uu,uu,uu,uu,uu
1.3,Thropton,55.314,-1.958,uu,uu,uu,uu,uu
1.4,Ellington,55.2209,-1.5621,uu,uu,uu,uu,uu
1.4,Ellington,55.2209,-1.5621,uu,uu,uu,uu,uu
1.5,Wark on Tyne,55.0917,-2.213,uu,uu,uu,uu,uu
1.5,Wark on Tyne,55.0917,-2.213,uu,uu,uu,uu,uu
1.6,Earsdon,55.0463,-1.4952,uu,uu,uu,uu,uu
1.6,Earsdon,55.0463,-1.4952,uu,uu,uu,uu,uu
1.7,Haltwhistle,54.97,-2.458,uu,uu,uu,uu,ou
1.7,Haltwhistle,54.97,-2.458,uu,uu,uu,uu,ou
1.8,Heddon-on-the-Wall,54.992905,-1.790535,uu,uu,uu,uu,au
1.8,Heddon-on-the-Wall,54.992905,-1.790535,uu,uu,uu,uu,au
1.9,Allendale,54.8961,-2.2565,uu,uu,uu,uu,uu
2.1,Longtown,55.0084,-2.9687,uu,uu,uu,uu,uu
2.1,Longtown,55.0084,-2.9687,uu,uu,uu,uu,uu
2.2,Abbeytown,54.844722,-3.287778,uu,uu,uu,uu,uu
2.2,Abbeytown,54.844722,-3.287778,uu,uu,uu,uu,uu
2.3,Brigham,54.658,-3.416,uu,uu,uu,uu,u
2.3,Brigham,54.658,-3.416,uu,uu,uu,uu,u
2.4,Threlkeld,54.61917,-3.05148,uu,uu,uu,uu,uu
2.4,Threlkeld,54.61917,-3.05148,uu,uu,uu,uu,uu
2.5,Hunsonby,54.716667,-2.65,uu,uu,uu,uu,uu
2.5,Hunsonby,54.716667,-2.65,uu,uu,uu,uu,uu
2.6,Gosforth,54.41886,-3.43408,au,euu,au,au,u
2.6,Gosforth,54.41886,-3.43408,au,euu,au,au,u
3.1,Washington,54.9111,-1.5086,uu,uu,uu,uu,ou
3.1,Washington,54.9111,-1.5086,uu,uu,uu,uu,ou
3.2,Ebchester,54.883333,-1.833333,uu,uu,uu,uu,uu
3.2,Ebchester,54.883333,-1.833333,uu,uu,uu,uu,uu
