"Novads","Skola","Kopvērtējums"
"Aglonas novads","Aglonas vidusskola",63.57%
"Aglonas novads","Aglonas internātvidusskola",56.59%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",49.04%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",56.44%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",60.69%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts",43.35%
"Aknīstes novads","Aknīstes vidusskola",64.31%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",41.83%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",37.88%
"Alūksnes novads","Liepnas vidusskola",54.96%
"Amatas novads","Nītaures vidusskola",76.52%
"Auces novads","Auces vidusskola",65.38%
"Auces novads","Bēnes vidusskola",65.15%
"Ādažu novads","Ādažu vidusskola",73.11%
"Baldones novads","Baldones vidusskola",56.97%
"Balvu novads","Balvu Amatniecības vidusskola",56.08%
"Balvu novads","Balvu Vakara (maiņu) vidusskola",52.51%
"Balvu novads","Balvu Valsts ģimnāzija",68.18%
"Balvu novads","Bērzpils vidusskola",71.10%
"Bauskas novads","Bauskas 2. vidusskola",36.87%
"Brocēnu novads","Brocēnu vidusskola",73.17%
"Cesvaines novads","Cesvaines vidusskola",65.26%
"Cēsu novads","Cēsu 2. vidusskola",63.38%
"Cēsu novads","Cēsu pilsētas Vakara vidusskola",57.77%
"Cēsu novads","Cēsu Valsts ģimnāzija",79.61%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",82.26%
"Daugavpils novads","Sventes vidusskola",60.37%
"Daugavpils novads","Zemgales vidusskola",44.70%
"Daugavpils pilsēta","Daugavpils 10. vidusskola",37.12%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",80.67%
"Daugavpils pilsēta","J. Raiņa Daugavpils 6. vidusskola",64.77%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",58.01%
"Daugavpils pilsēta","Daugavpils pilsētas Centra ģimnāzija",76.66%
"Daugavpils pilsēta","Daugavpils Valsts ģimnāzija",86.87%
"Daugavpils pilsēta","Daugavpils 1. arodvidusskola",60.17%
"Dobeles novads","Dobeles 1. vidusskola",64.52%
"Dobeles novads","Dobeles 2. vidusskola",58.39%
"Dundagas novads","Dundagas vidusskola",48.74%
"Gulbenes novads","Gulbenes vidusskola",63.50%
"Gulbenes novads","Gulbenes novada valsts ģimnāzija",76.52%
"Gulbenes novads","Lejasciema vidusskola",74.13%
"Gulbenes novads","Lizuma vidusskola",60.98%
"Iecavas novads","Iecavas vidusskola",46.21%
"Ikšķiles novads","Ikšķiles vidusskola",56.82%
"Ilūkstes novads","Ilūkstes 1. vidusskola",50.51%
"Ilūkstes novads","Ilūkstes 2. vidusskola",58.38%
"Ilūkstes novads","Ilūkstes novada Neklātienes vidusskola",57.50%
"Jaunjelgavas novads","Jaunjelgavas vidusskola",69.92%
"Jelgavas novads","Kalnciema vidusskola",44.70%
"Jelgavas novads","Līvbērzes vidusskola",59.09%
"Jelgavas novads","Staļģenes vidusskola",55.52%
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts",43.26%
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts",47.39%
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts",49.87%
"Jelgavas pilsēta","Jelgavas 4. vidusskola",68.16%
"Jelgavas pilsēta","Jelgavas Vakara (maiņu) vidusskola",53.67%
"Jelgavas pilsēta","Jelgavas 1. ģimnāzija",37.88%
"Jelgavas pilsēta","Jelgavas Valsts ģimnāzija",85.80%
"Jēkabpils novads","Zasas vidusskola",62.88%
"Jēkabpils pilsēta","Jēkabpils 3. vidusskola",68.37%
"Jēkabpils pilsēta","Jēkabpils 2. vidusskola",54.82%
"Jēkabpils pilsēta","Jēkabpils vakara vidusskola",44.01%
"Jēkabpils pilsēta","Jēkabpils Valsts ģimnāzija",73.65%
"Jūrmalas pilsēta","Pumpuru vidusskola",74.71%
"Jūrmalas pilsēta","Jūrmalas pilsētas Jaundubultu vidusskola",50.00%
"Jūrmalas pilsēta","Jūrmalas pilsētas Mežmalas vidusskola",48.67%
"Jūrmalas pilsēta","Jūrmalas pilsētas Lielupes vidusskola",61.15%
"Jūrmalas pilsēta","Jūrmalas vakara vidusskola",46.99%
"Kandavas novads","Kandavas Kārļa Mīlenbaha vidusskola",56.82%
"Kārsavas novads","Kārsavas vidusskola",71.97%
"Kokneses novads","Ilmāra Gaiša Kokneses vidusskola",72.84%
"Krāslavas novads","Krāslavas Varavīksnes vidusskola",28.03%
"Krāslavas novads","Krāslavas Valsts ģimnāzija",65.15%
"Krustpils novads","Brāļu Skrindu Atašienes vidusskola",68.94%
"Kuldīgas novads","Kuldīgas 2. vidusskola",58.21%
"Kuldīgas novads","Kuldīgas Mākslas un humanitāro zinību vidusskola",71.61%
"Kuldīgas novads","Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola",65.20%
"Ķeguma novads","Ķeguma komercnovirziena vidusskola",77.82%
"Lielvārdes novads","Edgara Kauliņa Lielvārdes vidusskola",69.19%
"Lielvārdes novads","Jumpravas vidusskola",65.80%
"Liepājas pilsēta","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola",64.78%
"Liepājas pilsēta","Liepājas 15. vidusskola",78.83%
"Liepājas pilsēta","Liepājas 8. vidusskola",56.82%
"Liepājas pilsēta","Liepājas Raiņa 6. vidusskola",73.74%
"Liepājas pilsēta","Liepājas 7. vidusskola",52.42%
"Liepājas pilsēta","Liepājas A. Puškina 2. vidusskola",72.35%
"Liepājas pilsēta","Liepājas pilsētas 12. vidusskola",82.13%
"Liepājas pilsēta","Liepājas vakara (maiņu) vidusskola",53.89%
"Limbažu novads","Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola",72.26%
"Līgatnes novads","Līgatnes novada vidusskola",66.36%
"Līvānu novads","Līvānu 1. vidusskola",64.66%
"Līvānu novads","Līvānu novada Vakara (maiņu) vidusskola",44.82%
"Ludzas novads","Ludzas 2. vidusskola",66.92%
"Ludzas novads","Ludzas novada vakara vidusskola",52.56%
"Ludzas novads","Ludzas pilsētas ģimnāzija",73.91%
"Ludzas novads","Istras vidusskola",45.08%
"Madonas novads","Madonas pilsētas 2. vidusskola",65.36%
"Madonas novads","Madonas Vakara un neklātienes vidusskola",45.79%
"Mazsalacas novads","Mazsalacas vidusskola",71.34%
"Naukšēnu novads","Naukšēnu vidusskola",57.88%
"Neretas novads","Neretas Jāņa Jaunsudrabiņa vidusskola",48.99%
"Nīcas novads","Nīcas vidusskola",92.42%
"Ogres novads","Ogres 1. vidusskola",65.15%
"Ogres novads","Ogres Vakara vidusskola",47.66%
"Ogres novads","Madlienas vidusskola",54.17%
"Ogres novads","Suntažu vidusskola",83.98%
"Ogres novads","Taurupes vidusskola",75.87%
"Olaines novads","Olaines 1. vidusskola",69.65%
"Pļaviņu novads","Pļaviņu novada ģimnāzija",78.79%
"Preiļu novads","Preiļu novada Vakara (maiņu) un neklātienes vidusskola",45.21%
