"Novads","Skola","Kopvērtējums"
"Aglonas novads","Šķeltovas pamatskola",64.78%
"Aglonas novads","Aglonas vidusskola",69.41%
"Aglonas novads","Priežmalas pamatskola",65.00%
"Aglonas novads","Aglonas Katoļu ģimnāzija",63.00%
"Aglonas novads","Aglonas internātvidusskola",55.00%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",43.42%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",65.73%
"Aizputes novads","Aizputes vidusskola",62.37%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",52.50%
"Aizputes novads","Aizputes pagasta pamatskola",62.77%
"Aizputes novads","Apriķu pamatskola",54.83%
"Aizputes novads","Dzērves pamatskola",60.20%
"Aizputes novads","Kalvenes pamatskola",58.71%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",62.30%
"Aknīstes novads","Aknīstes vidusskola",66.38%
"Aknīstes novads","Asares pamatskola",70.38%
"Aknīstes novads","Gārsenes pamatskola",57.09%
"Alojas novads","Staiceles vidusskola",55.80%
"Alojas novads","Alojas Ausekļa vidusskola",61.61%
"Alojas novads","Ozolmuižas pamatskola",55.25%
"Alojas novads","Puikules pamatskola",54.86%
"Alsungas novads","Alsungas vidusskola",68.40%
"Alūksnes novads","Alūksnes vidusskola",53.92%
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola",54.27%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",67.24%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",66.20%
"Alūksnes novads","Bejas pamatskola",56.33%
"Alūksnes novads","Ilzenes pamatskola",81.40%
"Alūksnes novads","Malienas pamatskola",65.00%
"Alūksnes novads","Mālupes pamatskola",59.50%
"Alūksnes novads","Mārkalnes pamatskola",56.60%
"Alūksnes novads","Strautiņu pamatskola",65.70%
"Alūksnes novads","Ziemeru pamatskola",61.92%
"Alūksnes novads","Pededzes pamatskola",82.00%
"Alūksnes novads","Liepnas vidusskola",58.00%
"Alūksnes novads","Liepnas internātpamatskola",61.10%
"Amatas novads","Sērmūkšu pamatskola",63.67%
"Amatas novads","Skujenes pamatskola",62.63%
"Amatas novads","Zaubes pamatskola",61.86%
"Amatas novads","Nītaures vidusskola",65.54%
"Amatas novads","Drabešu internātpamatskola",43.22%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",69.65%
"Apes novads","Sikšņu pamatskola",44.40%
"Apes novads","Trapenes pamatskola",53.92%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",62.56%
"Apes novads","Gaujienas speciālā internātpamatskola",58.79%
"Auces novads","Auces vidusskola",62.48%
"Auces novads","Bēnes vidusskola",59.72%
"Ādažu novads","Ādažu vidusskola",65.35%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",70.14%
"Babītes novads","Babītes vidusskola",63.58%
"Baldones novads","Baldones Mūzikas pamatskola",65.22%
"Baldones novads","Baldones vidusskola",61.05%
"Baltinavas novads","Baltinavas vidusskola",65.85%
"Balvu novads","Briežuciema pamatskola",63.80%
"Balvu novads","Bērzpils vidusskolas filiāle",70.80%
"Balvu novads","Mežvidu pamatskola (Viļakas)",54.00%
"Balvu novads","Stacijas pamatskola",63.50%
"Balvu novads","Bērzpils vidusskola",59.53%
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola",59.36%
"Bauskas novads","Bauskas pilsētas pamatskola",70.10%
"Bauskas novads","Bauskas 1. vidusskola",71.63%
"Bauskas novads","Bauskas 2. vidusskola",66.23%
"Bauskas novads","Codes pamatskola",60.82%
"Bauskas novads","Griķu pamatskola",62.22%
"Bauskas novads","Mežgaļu pamatskola",76.42%
"Bauskas novads","Ozolaines pamatskola",52.67%
"Bauskas novads","Vecsaules pamatskola",68.82%
"Bauskas novads","Īslīces vidusskola",62.89%
"Bauskas novads","Uzvaras vidusskola",72.73%
"Bauskas novads","Mežotnes internātvidusskola",57.94%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",63.23%
"Beverīnas novads","Trikātas pamatskola",65.00%
"Burtnieku novads","Ēveles pamatskola",58.86%
"Burtnieku novads","Matīšu pamatskola",59.22%
"Burtnieku novads","Rencēnu pamatskola",73.75%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",65.31%
"Carnikavas novads","Carnikavas pamatskola",79.86%
"Cesvaines novads","Cesvaines vidusskola",65.51%
"Cēsu novads","Cēsu 1. pamatskola",57.08%
"Cēsu novads","Cēsu 2. pamatskola",63.38%
"Cēsu novads","Cēsu pilsētas pamatskola",59.11%
"Cēsu novads","Cēsu 2. vidusskola",62.83%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",70.00%
