"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",70.67%
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",67.20%
"Aglonas novads","Aglonas vidusskola",85.45%
"Aglonas novads","Aglonas Katoļu ģimnāzija",97.33%
"Aglonas novads","Aglonas internātvidusskola",46.83%
"Aizkraukles novads","Aizkraukles 1. vidusskola",56.74%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",50.00%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",62.46%
"Aizputes novads","Aizputes pagasta pamatskola",44.17%
"Aizputes novads","Apriķu pamatskola",44.22%
"Aizputes novads","Dzērves pamatskola",42.29%
"Aizputes novads","Kalvenes pamatskola",61.33%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",46.40%
"Aizputes novads","Aizputes vidusskola",60.47%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",40.00%
"Aknīstes novads","Asares pamatskola",50.67%
"Aknīstes novads","Gārsenes pamatskola",45.00%
"Aknīstes novads","Aknīstes vidusskola",48.13%
"Alojas novads","Ozolmuižas pamatskola",39.62%
"Alojas novads","Puikules pamatskola",57.78%
"Alojas novads","Alojas Ausekļa vidusskola",60.76%
"Alojas novads","Staiceles vidusskola",47.17%
"Alsungas novads","Alsungas vidusskola",68.89%
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola",57.33%
"Alūksnes novads","Bejas pamatskola",51.73%
"Alūksnes novads","Ilzenes pamatskola",70.67%
"Alūksnes novads","Jaunlaicenes pamatskola",66.07%
"Alūksnes novads","Malienas pamatskola",51.62%
"Alūksnes novads","Mālupes pamatskola",63.26%
"Alūksnes novads","Mārkalnes pamatskola",38.22%
"Alūksnes novads","Strautiņu pamatskola",67.67%
"Alūksnes novads","Ziemeru pamatskola",59.76%
"Alūksnes novads","Pededzes pamatskola",66.67%
"Alūksnes novads","Liepnas vidusskola",49.02%
"Alūksnes novads","Alūksnes novada vidusskola",49.56%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",64.95%
"Alūksnes novads","Liepnas internātpamatskola",62.29%
"Amatas novads","Amatas pamatskola",60.15%
"Amatas novads","Sērmūkšu pamatskola",71.00%
"Amatas novads","Skujenes pamatskola",45.52%
"Amatas novads","Zaubes pamatskola",43.47%
"Amatas novads","Nītaures vidusskola",53.19%
"Amatas novads","Drabešu internātpamatskola",43.85%
"Apes novads","Sikšņu pamatskola (Ape)",60.95%
"Apes novads","Trapenes pamatskola",68.50%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",51.78%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",68.53%
"Apes novads","Gaujienas speciālā internātpamatskola",42.33%
"Auces novads","Auces vidusskola",54.92%
"Auces novads","Bēnes vidusskola",40.09%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",62.48%
"Ādažu novads","Ādažu vidusskola",62.64%
"Babītes novads","Babītes vidusskola",58.06%
"Baldones novads","Baldones Mūzikas pamatskola",61.23%
"Baldones novads","Baldones vidusskola",58.06%
"Baltinavas novads","Baltinavas vidusskola",56.27%
"Balvu novads","Briežuciema pamatskola",62.50%
"Balvu novads","Stacijas pamatskola",56.25%
"Balvu novads","Balvu pamatskola",51.67%
"Balvu novads","Balvu Amatniecības vidusskola",45.05%
"Balvu novads","Bērzpils vidusskola",66.67%
"Balvu novads","Tilžas vidusskola",59.87%
"Balvu novads","Bērzpils vidusskolas filiāle",45.00%
"Balvu novads","Tilžas vidusskolas filiāle",71.11%
"Balvu novads","Balvu Valsts ģimnāzija",69.64%
"Balvu novads","Tilžas internātpamatskola",37.45%
"Bauskas novads","Bauskas pilsētas pamatskola",62.77%
