"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",77.00%
"Aglonas novads","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola",79.00%
"Aglonas novads","Aglonas vidusskola",68.63%
"Aizkraukles novads","Aizkraukles 1. vidusskola",62.92%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",71.00%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",66.82%
"Aizputes novads","Aizputes pagasta pamatskola",59.20%
"Aizputes novads","Apriķu pamatskola",60.25%
"Aizputes novads","Dzērves pamatskola",68.86%
"Aizputes novads","Kalvenes pamatskola",91.50%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",59.07%
"Aizputes novads","Aizputes vidusskola",58.25%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",61.00%
"Aizputes novads","Cīravas Profesionālā vidusskola",49.00%
"Aknīstes novads","Asares pamatskola",53.50%
"Aknīstes novads","Gārsenes pamatskola",85.00%
"Aknīstes novads","Aknīstes vidusskola",75.58%
"Alojas novads","Ozolmuižas pamatskola",65.00%
"Alojas novads","Alojas Ausekļa vidusskola",63.57%
"Alojas novads","Staiceles vidusskola",70.00%
"Alsungas novads","Alsungas vidusskola",53.67%
"Alūksnes novads","Bejas pamatskola",61.25%
"Alūksnes novads","Ilzenes pamatskola",59.00%
"Alūksnes novads","Jaunlaicenes pamatskola",62.13%
"Alūksnes novads","Malienas pamatskola",61.67%
"Alūksnes novads","Mālupes pamatskola",57.60%
"Alūksnes novads","Mārkalnes pamatskola",45.00%
"Alūksnes novads","Pededzes pamatskola",70.33%
"Alūksnes novads","Strautiņu pamatskola",71.20%
"Alūksnes novads","Ziemeru pamatskola",67.63%
"Alūksnes novads","Alūksnes novada vidusskola",41.00%
"Alūksnes novads","Liepnas vidusskola",73.25%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",74.34%
"Alūksnes novads","Liepnas internātpamatskola",46.00%
"Amatas novads","Amatas pamatskola",68.00%
"Amatas novads","Sērmūkšu pamatskola",55.00%
"Amatas novads","Skujenes pamatskola",65.25%
"Amatas novads","Zaubes pamatskola",47.83%
"Amatas novads","Nītaures vidusskola",66.50%
"Amatas novads","Drabešu internātpamatskola",47.57%
"Apes novads","Sikšņu pamatskola (Apes novads)",66.33%
"Apes novads","Trapenes pamatskola",45.00%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",72.80%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",75.75%
"Apes novads","Gaujienas internātpamatskola",37.00%
"Auces novads","Auces vidusskola",67.04%
"Auces novads","Bēnes vidusskola",65.75%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",78.07%
"Ādažu novads","Ādažu vidusskola",74.85%
"Babītes novads","Babītes vidusskola",70.73%
"Baldones novads","Baldones Mūzikas pamatskola",82.50%
"Baldones novads","Baldones vidusskola",69.08%
"Baltinavas novads","Baltinavas vidusskola",65.00%
"Balvu novads","Briežuciema pamatskola",70.33%
"Balvu novads","Stacijas pamatskola",47.00%
"Balvu novads","Balvu pamatskola",56.20%
"Balvu novads","Balvu Amatniecības vidusskola",64.75%
"Balvu novads","Bērzpils vidusskola",59.00%
"Balvu novads","Tilžas vidusskola",64.55%
"Balvu novads","Tilžas vidusskolas Vectilžas filiāle",62.00%
"Balvu novads","Balvu Valsts ģimnāzija",67.89%
"Balvu novads","Tilžas internātpamatskola",83.00%
"Bauskas novads","Bauskas pilsētas pamatskola",81.89%
"Bauskas novads","Codes pamatskola",63.92%
"Bauskas novads","Griķu pamatskola",42.00%
"Bauskas novads","Jaunsaules pamatskola",59.00%
"Bauskas novads","Mežgaļu pamatskola",63.86%
"Bauskas novads","Mežotnes pamatskola",55.67%
"Bauskas novads","Ozolaines pamatskola",83.00%
"Bauskas novads","Vecsaules pamatskola",82.40%
