"Novads","Skola","Kopvērtējums"
"Aglonas novads","Priežmalas pamatskola",63.38%
"Aglonas novads","Šķeltovas pamatskola",57.88%
"Aglonas novads","Aglonas vidusskola",52.43%
"Aglonas novads","Aglonas internātvidusskola",53.92%
"Aizkraukles novads","Aizkraukles 1. vidusskola",60.45%
"Aizkraukles novads","Aizkraukles Vakara (maiņu) vidusskola",48.94%
"Aizkraukles novads","Aizkraukles novada ģimnāzija",57.60%
"Aizputes novads","Aizputes pagasta pamatskola",61.41%
"Aizputes novads","Apriķu pamatskola",65.21%
"Aizputes novads","Dzērves pamatskola",69.92%
"Aizputes novads","Kalvenes pamatskola",75.88%
"Aizputes novads","Māteru Jura Kazdangas pamatskola",58.90%
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts",59.22%
"Aknīstes novads","Asares pamatskola",67.35%
"Aknīstes novads","Gārsenes pamatskola",46.27%
"Alojas novads","Ozolmuižas pamatskola",51.96%
"Alojas novads","Alojas Ausekļa vidusskola",47.13%
"Alojas novads","Staiceles vidusskola",55.45%
"Alsungas novads","Alsungas vidusskola",53.86%
"Alūksnes novads","Bejas pamatskola",59.35%
"Alūksnes novads","Ilzenes pamatskola",63.09%
"Alūksnes novads","Jaunlaicenes pamatskola",62.57%
"Alūksnes novads","Malienas pamatskola",56.18%
"Alūksnes novads","Mālupes pamatskola",54.71%
"Alūksnes novads","Mārkalnes pamatskola",52.65%
"Alūksnes novads","Pededzes pamatskola",83.29%
"Alūksnes novads","Strautiņu pamatskola",66.41%
"Alūksnes novads","Ziemeru pamatskola",60.00%
"Alūksnes novads","Alūksnes novada vidusskola",68.43%
"Alūksnes novads","Liepnas vidusskola",65.65%
"Alūksnes novads","Ernsta Glika Alūksnes Valsts ģimnāzija",68.75%
"Alūksnes novads","Liepnas internātpamatskola",61.47%
"Amatas novads","Amatas pamatskola",74.97%
"Amatas novads","Sērmūkšu pamatskola",54.90%
"Amatas novads","Skujenes pamatskola",74.45%
"Amatas novads","Zaubes pamatskola",68.09%
"Amatas novads","Nītaures vidusskola",59.88%
"Amatas novads","Drabešu internātpamatskola",50.33%
"Apes novads","Sikšņu pamatskola (Apes novads)",55.53%
"Apes novads","Trapenes pamatskola",55.29%
"Apes novads","Dāvja Ozoliņa Apes vidusskola",67.41%
"Apes novads","Ojāra Vācieša Gaujienas vidusskola",71.11%
"Apes novads","Gaujienas internātpamatskola",53.82%
"Auces novads","Auces vidusskola",55.74%
"Auces novads","Bēnes vidusskola",58.89%
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdorfa skola",70.67%
"Ādažu novads","Ādažu vidusskola",63.19%
"Babītes novads","Babītes vidusskola",63.19%
"Baldones novads","Baldones Mūzikas pamatskola",81.68%
"Baldones novads","Baldones vidusskola",65.56%
"Baltinavas novads","Baltinavas vidusskola",75.06%
"Balvu novads","Briežuciema pamatskola",70.29%
"Balvu novads","Stacijas pamatskola",76.08%
"Balvu novads","Balvu pamatskola",62.35%
"Balvu novads","Balvu Amatniecības vidusskola",57.52%
"Balvu novads","Bērzpils vidusskola",63.18%
"Balvu novads","Tilžas vidusskola",72.09%
"Balvu novads","Tilžas vidusskolas Vectilžas filiāle",75.88%
"Balvu novads","Balvu Valsts ģimnāzija",59.65%
"Balvu novads","Tilžas internātpamatskola",70.59%
"Bauskas novads","Bauskas pilsētas pamatskola",68.24%
"Bauskas novads","Codes pamatskola",60.81%
"Bauskas novads","Griķu pamatskola",56.47%
"Bauskas novads","Jaunsaules pamatskola",66.55%
"Bauskas novads","Mežgaļu pamatskola",70.74%
"Bauskas novads","Mežotnes pamatskola",60.75%
"Bauskas novads","Ozolaines pamatskola",74.90%
"Bauskas novads","Vecsaules pamatskola",74.87%
"Bauskas novads","Bauskas 2. vidusskola",64.79%
"Bauskas novads","Īslīces vidusskola",57.14%
"Bauskas novads","Uzvaras vidusskola",65.93%
"Bauskas novads","Bauskas Valsts ģimnāzija",63.94%
"Bauskas novads","Mežotnes internātvidusskola",45.53%
"Beverīnas novads","J. Endzelīna Kauguru pamatskola",67.65%
"Beverīnas novads","Trikātas pamatskola",57.94%
"Brocēnu novads","Blīdenes pamatskola",51.44%
"Brocēnu novads","Gaiķu pamatskola",65.41%
"Brocēnu novads","Remtes pamatskola",81.96%
"Brocēnu novads","Brocēnu vidusskola",59.83%
"Burtnieku novads","Ēveles pamatskola",53.09%
"Burtnieku novads","Matīšu pamatskola",58.68%
"Burtnieku novads","Rencēnu pamatskola",65.18%
"Burtnieku novads","Burtnieku Ausekļa vidusskola",76.64%
"Carnikavas novads","Carnikavas pamatskola",52.35%
"Cesvaines novads","Cesvaines vidusskola",69.18%
"Cesvaines novads","Cesvaines internātpamatskola",45.71%
"Cēsu novads","Cēsu 1. pamatskola",68.28%
"Cēsu novads","Cēsu 2. pamatskola",63.92%
"Cēsu novads","Cēsu pilsētas pamatskola",54.82%
"Cēsu novads","Līvu pamatskola",57.06%
"Cēsu novads","Rāmuļu pamatskola",59.33%
"Cēsu novads","Cēsu 2. vidusskola",53.61%
"Cēsu novads","Cēsu 2. vakara (maiņu) vidusskola",65.88%
"Cēsu novads","Cēsu Valsts ģimnāzija",74.53%
"Cēsu novads","Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija",73.25%
"Cēsu novads","Cēsu internātpamatskola - rehabilitācijas centrs",45.29%
"Ciblas novads","Pušmucovas pamatskola",63.53%
"Dagdas novads","Andrupenes pamatskola",50.27%
"Dagdas novads","Andzeļu pamatskola",77.25%
"Dagdas novads","Asūnes pamatskola",66.27%
"Dagdas novads","Dagdas vidusskola",70.90%
"Dagdas novads","Ezernieku vidusskola",71.65%
"Daugavpils novads","Kalupes pamatskola",54.12%
"Daugavpils novads","Medumu pamatskola",78.69%
"Daugavpils novads","Naujenes pamatskola",67.35%
"Daugavpils novads","Nīcgales pamatskola",77.82%
"Daugavpils novads","Skrudalienas pamatskola",56.47%
"Daugavpils novads","Biķernieku pamatskola",64.54%
"Daugavpils novads","Birznieku pamatskola",62.16%
"Daugavpils novads","Randenes pamatskola",60.00%
"Daugavpils novads","Tabores pamatskola",70.59%
"Daugavpils novads","Lāču pamatskola",66.54%
"Daugavpils novads","Silenes pamatskola",57.82%
"Daugavpils novads","Sventes vidusskola",55.95%
"Daugavpils novads","Zemgales vidusskola (Daugavpils novads)",66.71%
"Daugavpils novads","Salienas vidusskola",60.75%
"Daugavpils novads","Špoģu vidusskola",71.68%
"Daugavpils pilsēta","Daugavpils Vienības pamatskola",69.15%
"Daugavpils pilsēta","Daugavpils 11. pamatskola",50.21%
"Daugavpils pilsēta","Daugavpils Saskaņas pamatskola",77.76%
"Daugavpils pilsēta","Daugavpils 12. vidusskola",71.90%
"Daugavpils pilsēta","Daugavpils 10. vidusskola",65.03%
"Daugavpils pilsēta","Daugavpils 15. vidusskola",63.33%
"Daugavpils pilsēta","Daugavpils 3. vidusskola",68.79%
"Daugavpils pilsēta","J. Raiņa Daugavpils 6. vidusskola",68.50%
"Daugavpils pilsēta","Daugavpils Centra vidusskola",66.60%
"Daugavpils pilsēta","Daugavpils 13. vidusskola",78.74%
"Daugavpils pilsēta","Daugavpils 16. vidusskola",64.06%
"Daugavpils pilsēta","Daugavpils 17. vidusskola",60.35%
"Daugavpils pilsēta","Daugavpils 9. vidusskola",61.53%
"Daugavpils pilsēta","Daugavpils Krievu vidusskola - licejs",84.57%
"Daugavpils pilsēta","J.Pilsudska Daugavpils valsts poļu ģimnāzija",83.47%
