"Reģistrācijas Nr.","IZM kods","Iestādes nosaukums","1.kl.","2.kl.","3.kl.","4.kl.","5.kl.","6.kl.","7.kl.","8.kl.","9.kl."
"4511900989","011101","Aizkraukles pagasta sākumskola",18,15,16,15,0,0,0,0,0
"4511900990","011102","Aizkraukles pilsētas sākumskola",46,68,50,60,66,80,0,0,0
"4512900987","011201","Bebru pamatskola",11,8,4,11,5,16,4,12,7
"4512900981","011202","Daudzeses pamatskola",4,13,7,7,8,11,6,9,14
"4512900978","011204","Mazzalves pamatskola",8,4,5,4,11,11,9,8,8
"4512900985","011206","Sproģu pamatskola",4,5,2,5,3,3,4,2,3
"4512900984","011207","Pērses pamatskola",9,7,8,6,5,1,3,5,8
"4512900983","011208","Seces pagasta pamatskola",8,9,14,10,14,10,16,12,15
"4512900982","011209","Sunākstes pamatskola",4,4,3,3,6,5,7,4,3
"4513900975","011301","Andreja Upīša Skrīveru vidusskola",45,27,36,20,24,29,27,29,40
"4513901040","011302","Jaunjelgavas vidusskola",16,19,21,16,20,24,16,13,20
"4513901334","011303","Ilmāra Gaiša Kokneses vidusskola",25,35,28,34,41,32,32,34,45
"4513900971","011304","Neretas Jāņa Jaunsudrabiņa vidusskola",11,8,17,16,15,17,16,27,16
"4516902770","011305","Pļaviņu novada ģimnāzija",34,44,46,41,36,52,46,40,50
"4513900974","011306","Aizkraukles 1. vidusskola",34,16,11,19,22,21,18,12,13
"4516900970","011307","Aizkraukles novada ģimnāzija",0,0,0,0,0,0,49,54,57
"4513901041","011308","Vecumnieku novada Domes Valles vidusskola",10,12,13,9,18,16,14,10,11
"4513902997","011310","Vecbebru Profesionālā un vispārizglītojošā internātvidusskola",9,8,9,10,12,10,21,17,13
"4514900992","011401","Aizkraukles Vakara (maiņu) vidusskola",0,0,0,0,0,0,0,11,17
"4524900991","012201","Kokneses internātpamatskola - attīstības centrs",4,9,8,13,7,15,12,7,6
"4411900920","021101","Alūksnes pilsētas sākumskola",79,58,59,64,60,61,0,0,0
"4412900909","021202","Bejas pamatskola",9,8,9,10,10,13,14,6,12
"4412900908","021203","Malienas pamatskola",9,5,6,3,8,6,11,5,7
"4412900903","021204","Mārkalnes pamatskola",4,7,2,2,3,9,4,7,10
"4412900912","021205","Pededzes pamatskola",4,11,3,5,6,8,7,8,8
"4412900906","021206","Strautiņu pamatskola",11,10,12,7,12,13,13,12,11
"4412900904","021207","Trapenes pamatskola",7,6,6,10,3,6,4,6,6
"4412900914","021210","Ziemeru pamatskola",5,9,6,4,8,6,12,10,12
"4412900905","021211","Ilzenes pamatskola",0,4,1,4,4,8,5,5,12
"4412900919","021212","Liepnas internātpamatskola",10,5,9,10,2,13,7,11,13
"4412900911","021213","Vidagas Sikšņu pamatskola (Apes novads)",5,2,2,4,3,2,4,7,2
"4412900907","021216","Mālupes pamatskola",3,1,6,3,0,9,6,7,1
"4412900918","021217","Jaunlaicenes pamatskola",5,5,2,2,8,8,6,6,4
"4412902908","021219","Jaunannas Mūzikas un mākslas pamatskola",9,3,5,6,3,0,6,3,8
"4419900900","021301","Ernsta Glika Alūksnes Valsts ģimnāzija",0,0,0,0,0,0,49,57,51
"4413900899","021303","Dāvja Ozoliņa Apes vidusskola",15,14,12,9,8,12,16,15,11
"4413900898","021304","Ojāra Vācieša Gaujienas vidusskola",7,8,9,7,9,9,9,8,14
"4413900902","021305","Liepnas vidusskola",8,7,1,9,2,10,4,6,10
"4413902870","021306","Alūksnes novada vidusskola",13,9,5,10,10,14,19,12,26
"4422900921","022201","Gaujienas internātpamatskola",9,8,9,8,7,8,11,8,19
"4212900431","031201","Žīguru pamatskola",4,2,5,4,5,9,8,12,9
"4212900421","031202","Briežuciema pamatskola",2,3,1,3,5,5,5,9,4
"4212900422","031203","Rugāju novada Eglaines pamatskola",7,8,5,7,5,11,11,9,11
"4212900426","031206","Stacijas pamatskola",9,10,20,17,17,18,15,6,11
"4212900429","031207","Viduču pamatskola",10,8,11,7,10,9,12,9,15
"4212900427","031210","Upītes pamatskola",5,3,3,8,7,2,12,11,10
"4212900432","031211","Tilžas internātpamatskola",5,7,6,9,13,8,15,10,17
