Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Adrese,Tālrunis,E-pasts,Novads/Pilsēta,Likvidēta,visc_kods,pasvaldiba,urban,valoda,lat,lng
"Privātā pirmsskolas izglītības iestāde ""BG Ķipars""",3401803033,Komercsabiedrības struktūrvienība,AINA KIELBICKA,0,0,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""BG ĶIPARS""","Sabiedrība ar ierobežotu atbildību ""BG ĶIPARS""","DZIRNAVU IELA 86/88 - 7, CENTRA RAJONS, RĪGA, LV-1050",67288005,bac.kipars@inbox.lv,Rīga,N,,,,,56.9509114,24.1235635
"""""""Anšpēteru"""" veselīgas ēdināšanas un servisa arodizglītības skola""",3333801469,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Profesionālās pamatizglītības iestāde,"""Z/S """"Anšpēteri""""""","""Z/S """"Anšpēteri""""""","Dzirnavu 57, RĪGA, LV-1010",7612030,,Rīga,J,,,,,56.9559065,24.1185707
"""""""GOBEST Baltija Internacionāls"""" Komerckoledža""",3331800814,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Profesionālās vidējās izglītības iestāde,"""SIA """"GOBEST Baltija Internacionāls""""""","""SIA """"GOBEST Baltija Internacionāls""""""","Keldiša 8-73, Faktiskā: Maskavas ielā 68, Rīga, LV-10, RĪGA, LV-1082",7204424,gobest@latnet.lv,Rīga,J,,,,,56.9477298,24.1906727
"""""""PCSK"""" APSARDZES SKOLA""",3360800461,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""Sporta biedrība """"PCSK""""""","""Sporta biedrība """"PCSK""""""","Klijānu 4, RĪGA, LV-1013",7331485,,Rīga,J,,,,,56.9749327,24.1457178
"""1 1 A profesionālās tālākizglītības un pilnveides izglītības iestāde""",3360802102,Komercsabiedrības struktūrvienība,,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""Dialogs AB""","Sabiedrība ar ierobežotu atbildību ""Dialogs AB""","MURJĀŅU IELA 1a, RĪGA, LV-1024",29408456,info@dialogs-ab.lv,Rīga,N,,,,,56.9867583,24.2326829
"""1A FORTŪNA"" SIA",3360800733,Komercsabiedrība,ALEKSANDRS VOROBJOVS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Aleksandrs Vorobjovs,Aleksandrs Vorobjovs,"MERĶEĻA IELA 17/19 - 3, RĪGA, LV-1050",67221663,autoskolambr@inbox.lv,Rīga,N,,,,,56.94854,24.1193292
"""A.D.Streem"" mācību centrs",2760800906,Komercsabiedrības struktūrvienība,ALEKSANDRS DAVIDĀNS,0,0,Profesionālās tālākizglītības un pilnveides izglītības iestāde,Profesionālās tālākizglītības un pilnveides izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""A.D.Streem""","Sabiedrība ar ierobežotu atbildību ""A.D.Streem""","18. NOVEMBRA IELA 104a, DAUGAVPILS, LV-5404",65421001,adstreem@inbox.lv,Daugavpils,N,,,,,55.8740323,26.5467491
"""A/S """"Rīgas Drēbnieks"""" mācību centrs""",3660800034,Juridiskā vai fiziskā persona,,0,0,Pieaugušo neformālās izglītības iestāde,Pieaugušo izglītības iestāde,"""A/S """"Rīgas Drēbnieks""""""","""A/S """"Rīgas Drēbnieks""""""","Zilupes 7, RĪGA, LV-1019","7,11221E+13",,Rīga,J,,,,,56.9305903,24.1669381
"""A+"" valodu mācību centrs",1760800639,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Pieaugušo izglītības iestāde,"Sabiedrība ar ierobežotu atbildību ""AQUABLUES""","Sabiedrība ar ierobežotu atbildību ""AQUABLUES""","VIDZEMES IELA 4b, OGRE, OGRES NOVADS, LV-5001",67807404,elenavitz@inbox.lv,Ogres novads,J,,,,,56.7998486,24.6221719
"""Aija Fashion"" Modeļu skola un Stila studija",3332801319,Juridiskā vai fiziskā persona,,0,0,Profesionālās izglītības iestāde,Arodizglītības iestāde,"SIA ""AIJA FASHION""","SIA ""AIJA FASHION""","KRIŠJĀŅA VALDEMĀRA IELA 57/59, RĪGA, LV-1010",67044610,aija@aija.net,Rīga,J,,,,,56.9601103,24.1198733
