"municipality","region","schools"
"Ādažu novads","Riga region",2
"Aglonas novads","Latgale region",7
"Aizkraukles novads","Zemgale region",5
"Aizputes novads","Kurzeme region",12
"Aknīstes novads","Zemgale region",3
"Alojas novads","Riga region",4
"Alsungas novads","Kurzeme region",1
"Alūksnes novads","Vidzeme region",15
"Amatas novads","Vidzeme region",6
"Apes novads","Vidzeme region",5
"Auces novads","Zemgale region",2
"Babītes novads","Riga region",1
"Baldones novads","Riga region",2
"Baltinavas novads","Latgale region",1
"Balvu novads","Latgale region",9
"Bauskas novads","Zemgale region",13
"Beverīnas novads","Vidzeme region",2
"Brocēnu novads","Kurzeme region",4
"Burtnieku novads","Vidzeme region",4
"Carnikavas novads","Riga region",1
"Cēsu novads","Vidzeme region",13
"Cesvaines novads","Vidzeme region",2
"Ciblas novads","Latgale region",3
"Dagdas novads","Latgale region",8
"Daugavpils","Latgale region",25
"Daugavpils novads","Latgale region",19
"Dobeles novads","Zemgale region",15
"Dundagas novads","Kurzeme region",2
"Durbes novads","Kurzeme region",1
"Engures novads","Riga region",3
"Ērgļu novads","Vidzeme region",4
"Garkalnes novads","Riga region",3
"Grobiņas novads","Kurzeme region",5
"Gulbenes novads","Vidzeme region",21
"Iecavas novads","Zemgale region",3
"Ikšķiles novads","Riga region",2
"Ilūkstes novads","Latgale region",6
"Inčukalna novads","Riga region",2
"Jaunjelgavas novads","Zemgale region",4
"Jaunpiebalgas novads","Vidzeme region",1
"Jaunpils novads","Riga region",1
"Jēkabpils","Zemgale region",6
"Jēkabpils novads","Zemgale region",6
"Jelgava","Zemgale region",17
"Jelgavas novads","Zemgale region",22
"Jūrmala","Riga region",15
"Kandavas novads","Riga region",7
"Kārsavas novads","Latgale region",4
"Ķeguma novads","Riga region",2
"Ķekavas novads","Riga region",3
"Kocēnu novads","Vidzeme region",4
"Kokneses novads","Zemgale region",6
"Krāslavas novads","Latgale region",10
"Krimuldas novads","Riga region",3
"Krustpils novads","Zemgale region",6
"Kuldīgas novads","Kurzeme region",14
"Lielvārdes novads","Riga region",4
"Liepāja","Kurzeme region",18
"Līgatnes novads","Vidzeme region",1
"Limbažu novads","Riga region",10
"Līvānu novads","Latgale region",8
"Lubānas novads","Vidzeme region",2
"Ludzas novads","Latgale region",6
"Madonas novads","Vidzeme region",22
"Mālpils novads","Riga region",5
"Mārupes novads","Riga region",2
"Mazsalacas novads","Vidzeme region",1
"Mērsraga novads","Kurzeme region",0
"Naukšēnu novads","Vidzeme region",2
"Neretas novads","Zemgale region",3
"Nīcas novads","Kurzeme region",1
"Ogres novads","Riga region",12
"Olaines novads","Riga region",3
"Ozolnieku novads","Zemgale region",3
"Pārgaujas novads","Vidzeme region",3
"Pāvilostas novads","Kurzeme region",2
"Pļaviņu novads","Zemgale region",1
"Preiļu novads","Latgale region",9
"Priekules novads","Kurzeme region",5
"Priekuļu novads","Vidzeme region",7
"Raunas novads","Vidzeme region",3
"Rēzekne","Latgale region",17
"Rēzeknes novads","Latgale region",22
"Riebiņu novads","Latgale region",6
"Rīga","Riga city",162
"Rojas novads","Kurzeme region",2
"Ropažu novads","Riga region",2
"Rucavas novads","Kurzeme region",2
"Rugāju novads","Latgale region",2
"Rūjienas novads","Vidzeme region",2
"Rundāles novads","Zemgale region",2
"Salacgrīvas novads","Riga region",3
"Salas novads","Zemgale region",3
"Salaspils novads","Riga region",2
"Saldus novads","Kurzeme region",18
"Saulkrastu novads","Riga region",2
"Sējas novads","Riga region",2
"Siguldas novads","Riga region",6
"Skrīveru novads","Zemgale region",1
"Skrundas novads","Kurzeme region",5
"Smiltenes novads","Vidzeme region",9
"Stopiņu novads","Riga region",3
"Strenču novads","Vidzeme region",1
"Talsu novads","Kurzeme region",16
"Tērvetes novads","Zemgale region",4
"Tukuma novads","Riga region",12
"Vaiņodes novads","Kurzeme region",2
"Valkas novads","Vidzeme region",6
"Valmiera","Vidzeme region",10
"Varakļānu novads","Vidzeme region",3
"Vārkavas novads","Latgale region",2
"Vecpiebalgas novads","Vidzeme region",4
"Vecumnieku novads","Zemgale region",5
"Ventspils","Kurzeme region",13
"Ventspils novads","Kurzeme region",8
"Viesītes novads","Zemgale region",3
"Viļakas novads","Latgale region",7
"Viļānu novads","Latgale region",3
"Zilupes novads","Latgale region",1
