"municipality","school","renamed"
"Rīga","#N/A","NA"
"Rīga","Āgenskalna ģimnāzija","Rīgas Valsts vācu ģimnāzija"
"Kārsavas novads","Aizgāršas pamatskola","NA"
"Preiļu novads","Aizkalnes pamatskola","NA"
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts","Aizputes novada Neklātienes vidusskola"
"Aizputes novads","Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts","Aizputes novada Neklātienes vidusskola"
"Alūksnes novads","Alsviķu Profesionālā skola","Alsviķu arodskola"
"Alūksnes novads","Alūksnes novada Jaunannas pamatskola","Jaunannas Mūzikas un mākslas pamatskola"
"Alūksnes novads","Alūksnes Vakara (maiņu) un neklātienes vidusskola","NA"
"Alūksnes novads","Alūksnes vidusskola","Alūksnes novada vidusskola"
"Dobeles novads","Apguldes arodvidusskola","NA"
"Dobeles novads","Apguldes Profesionālā vidusskola","NA"
"Rēzeknes novads","Audriņu vidusskola","NA"
"Rēzekne","Austrumlatgales Profesionālā vidusskola","Rēzeknes tehnikums"
"Baldones novads","Baldones mūzikas pamatskola","NA"
"Balvu novads","Balvu 2.pamatskola","NA"
"Balvu novads","Balvu Amatniecības vidusskola","Balvu profesionālā un vispārizglītojošā vidusskola"
"Balvu novads","Balvu Vakara (maiņu) vidusskola","NA"
"Madonas novads","Barkavas arodvidusskola","Barkavas Profesionālā vidusskola"
"Madonas novads","Barkavas Profesionālā vidusskola","NA"
"Bauskas novads","Bauskas 1. vidusskola","NA"
"Bauskas novads","Bauskas 2. vidusskolaBauskas 2. vidusskola","NA"
"Bauskas novads","Bauskas pilsētas Kristīgā pamatskola","NA"
"Ilūkstes novads","Bebrenes vidusskola","Bebrenes vispārizglītojošā un profesionālā vidusskola"
"Kokneses novads","Bebru internātvidusskola","NA"
"Kokneses novads","Bebru vispārizglītojošā internātpamatskola","NA"
"Rēzeknes novads","Bērzgales pamatskola","NA"
"Balvu novads","Bērzpils vidusskolas filiāle","NA"
"Tukuma novads","Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola, ""Dzīvā skola""","NA"
"Brocēnu novads","Brocēnu vidusskolaBrocēnu vidusskola","NA"
"Tērvetes novads","Bukaišu pamatskola","NA"
"Vecpiebalgas novads","Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts","NA"
"Cēsu novads","Cēsu pilsētas Vakara vidusskola","Cēsu 2. vidusskola"
"Vecpiebalgas novads","Cēsu pilsētas vakara vidusskolas Vecpiebalgas konsult. punkts","NA"
"Cēsu novads","Cēsu sanatorijas internātpamatskola","NA"
"Aizputes novads","Cīravas arodvidusskola","Cīravas Profesionālā vidusskola"
"Aizputes novads","Cīravas Profesionālā vidusskola","NA"
"Ciblas novads","Cirmas pamatskola","NA"
"Dagdas novads","Dagdas arodvidusskola","NA"
"Daugavpils","Daugavpils 1. arodvidusskola","NA"
"Daugavpils","Daugavpils 4. speciālā pamatskola","NA"
"Daugavpils","Daugavpils 5. pamatskola","NA"
"Daugavpils","Daugavpils 7. pamatskola","NA"
"Daugavpils","Daugavpils 8. pamatskola","NA"
"Daugavpils","Daugavpils Celtnieku profesionālā vidusskola","Daugavpils Būvniecības tehnikums"
"Daugavpils","Daugavpils mākslas vidusskola ""Saules skola""","Daugavpils Dizaina un mākslas vidusskola ""Saules skola"""
"Daugavpils","Daugavpils Mūzikas vidusskola","NA"
"Daugavpils","Daugavpils pilsētas Centra ģimnāzija","NA"
"Daugavpils","Daugavpils valsts poļu ģimnāzija","NA"
"Daugavpils","Daugavpils Valsts tehnikums","NA"
"Dobeles novads","Dobeles 2. vidusskola","NA"
"Dobeles novads","Dobeles 2. vidusskolaDobeles 2. vidusskola","NA"
"Vecpiebalgas novads","Dzērbenes vidusskola","Dzērbenes vispārizglītojošā un mūzikas pamatskola"
"Tukuma novads","Džūkstes vidusskola","NA"
"Ilūkstes novads","Eglaines pamatskola","Eglaines pamatskola (Ilūkstes novads)"
"Rugāju novads","Eglaines pamatskola","Rugāju novada Eglaines pamatskola"
"Ilūkstes novads","Eglaines pamatskola (Ilūkste)","Eglaines pamatskola (Ilūkstes novads)"
"Ilūkstes novads","Eglaines pamatskola (Ilūkstes)","Eglaines pamatskola (Ilūkstes novads)"
"Rugāju novads","Eglaines pamatskola (Rugāji)","Rugāju novada Eglaines pamatskola"
"Rugāju novads","Eglaines pamatskola (Rugāju)","Rugāju novada Eglaines pamatskola"
"Ērgļu novads","Ērgļu arodvidusskola","Ērgļu Profesionālā vidusskola"
"Limbažu novads","Friča Bārdas Pociema pamatskola","NA"
"Garkalnes novads","Garkalnes vidusskola","Garkalnes Mākslu un vispārizglītojošā vidusskola"
"Garkalnes novads","Garkalnes-Berģu pamatskola","Garkalnes Mākslu un vispārizglītojošā vidusskola"
"Apes novads","Gaujienas speciālā internātpamatskola","Gaujienas internātpamatskola"
"Grobiņas novads","Grobiņas vidusskola","NA"
"Rīga","Humanitārā privātģimnāzija","NA"
"Ilūkstes novads","Ilūkstes 2. vidusskola","NA"
"Ilūkstes novads","Ilūkstes novada Neklātienes vidusskola","NA"
"Aglonas novads","Jaunaglonas arodvidusskola","NA"
"Gulbenes novads","Jaungulbenes arodvidusskola","Jaungulbenes Professionālā vidusskola"
"Bauskas novads","Jaunsaules pamatskola","NA"
"Jēkabpils","Jēkabpils Poļu pamatskola","NA"
"Jelgava","Jelgavas 1. ģimnāzija","Jelgavas Tehnoloģiju vidusskola"
"Jelgava","Jelgavas 1. sanatorijas internātpamatskola","NA"
"Jelgava","Jelgavas 1.speciālā internātpamatskola","Jelgavas 1. internātpamatskola"
"Jelgava","Jelgavas Amatniecības vidusskola","Jelgavas Tehnikums"
"Jelgava","Jelgavas Amatu vidusskola","NA"
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Elejas konsult. punkts","NA"
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Šķibes konsult. punkts","NA"
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts","NA"
"Jelgavas novads","Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts","NA"
"Jelgava","Jelgavas speciālā internātpamatskola","NA"
"Jelgava","Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums","NA"
"Stopiņu novads","Juglas sanatorijas internātpamatskola","NA"
"Lielvārdes novads","Kaibalas pamatskola","NA"
"Jelgavas novads","Kalnciema pilsētas vidusskola","NA"
"Rīga","Kārļa Videnieka Rīgas 77. vidusskola","Rīgas Avotu pamatskola"
"Ogres novads","Krapes pamatskola",
"Dobeles novads","Krimūnu pamatskola","NA"
"Rēzeknes novads","Kruķu pamatskola","NA"
