"municipality","school"
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdofa skola"
"Aglonas novads",NA
"Aizputes novads",NA
"Alojas novads","Puikules pamatskola"
"Alūksnes novads",NA
"Apes novads","Sikšņu pamatskola"
"Apes novads","Sikšņu pamatskola (Ape)"
"Baldones novads",NA
"Balvu novads",NA
"Balvu novads","Mežvidu pamatskola (Viļakas)"
"Balvu novads","Tilžas vidusskolas filiāle"
"Bauskas novads",NA
"Brocēnu novads",NA
"Cēsu novads",NA
"Ciblas novads",NA
"Dagdas novads",NA
"Daugavpils",NA
"Daugavpils novads","Medumu vidusskola"
"Daugavpils novads","Zemgales vidusskola"
"Daugavpils novads","Zemgales vidusskola (Daugavpils)"
"Daugavpils novads","Zemgales vidusskola (Daugavpils nov.)"
"Dobeles novads","Naudītes pamatskola"
"Dobeles novads",NA
"Dobeles novads","Lejasstrazdu pamatskola"
"Durbes novads","Rāvas pamatskola"
"Durbes novads","Vecpils pamatskola"
"Grobiņas novads",NA
"Gulbenes novads","Rankas arodvidusskola"
"Gulbenes novads","Ozolkalna pamatskola"
"Gulbenes novads",NA
"Gulbenes novads","Rankas Profesionālā vidusskola"
"Iecavas novads","Rīgas Tālmācības vidusskola"
"Ilūkstes novads",NA
"Jaunpiebalgas novads","Piebalgas pamatskola"
"Jēkabpils",NA
"Jēkabpils novads","Rubenes pamatskola"
"Jēkabpils novads","Rubenes pamatskola (Jēkabpils)"
"Jelgava",NA
"Jelgava","Lazdiņas privātā vidusskola ""Punktiņš"""
"Jelgavas novads","Zaļenieku pamatskola"
"Jelgavas novads",NA
"Jelgavas novads","Platones pamatskola"
"Jūrmala","Majoru pamatskola"
"Jūrmala","Murjāņu sporta ģimnāzija Jūrmalas filiāle"
"Kandavas novads","Matkules pamatskola"
"Kārsavas novads","Mežvidu pamatskola"
"Kārsavas novads",NA
"Kārsavas novads","Mežvidu pamatskola (Kārsavas)"
"Kocēnu novads","Rubenes pamatskola"
"Kocēnu novads","Rubenes pamatskola (Kocēnu)"
"Kokneses novads",NA
"Krāslavas novads","Skaistas pamatskola"
"Krimuldas novads","Turaidas pamatskola"
"Krustpils novads","Liepenes pamatskola"
"Kuldīgas novads",NA
"Lielvārdes novads",NA
